,player,response,round,rt
911,911,0,0,2.38
912,912,1,0,2.7800000000000002
913,913,1,0,1.83
914,914,1,0,2.7600000000000002
915,915,1,0,1.54
916,916,1,0,3.0
917,917,1,0,2.79
918,918,0,0,0.81
919,919,1,0,3.38
920,920,1,0,2.83
921,921,1,0,6.17
922,922,1,0,3.9
923,923,1,0,4.62
924,924,1,0,2.48
925,925,1,0,5.23
926,926,1,0,4.94
927,927,1,0,5.82
928,928,1,0,2.95
929,929,1,0,3.58
930,930,1,0,1.34
931,931,0,0,0.74
932,932,1,0,2.89
933,933,1,0,7.54
934,934,1,0,3.73
935,935,1,0,2.13
936,936,1,0,4.78
937,937,1,0,6.47
938,938,1,0,7.38
939,939,1,0,3.39
940,940,1,0,4.0200000000000005
941,941,1,0,2.39
942,942,0,0,2.04
943,943,1,0,4.68
944,944,1,0,5.87
945,945,1,0,2.66
946,946,1,0,9.620000000000001
947,947,1,0,3.79
948,948,1,0,1.85
949,949,1,0,2.07
950,950,1,0,4.15
951,951,1,0,5.62
952,952,0,0,9.71
953,953,0,0,0.63
954,954,1,0,8.38
955,955,1,0,3.16
956,956,0,0,1.22
957,957,1,0,0.86
958,958,1,0,2.58
959,959,1,0,1.7
960,960,1,0,2.31
961,961,1,0,2.31
962,962,1,0,0.96
963,963,1,0,3.08
964,964,1,0,2.0100000000000002
965,965,1,0,1.05
966,966,1,0,8.25
967,967,1,0,7.15
968,968,1,0,5.79
969,969,1,0,4.0600000000000005
970,970,1,0,7.96
971,971,1,0,2.2
972,972,1,0,2.95
973,973,1,0,5.46
974,974,1,0,3.5300000000000002
975,975,1,0,7.49
976,976,1,0,3.68
977,977,1,0,3.93
978,978,1,0,2.44
979,979,1,0,4.89
980,980,1,0,7.36
981,981,1,0,3.22
982,982,1,0,6.37
983,983,1,0,2.17
984,984,1,0,2.3000000000000003
985,985,1,0,2.61
986,986,1,0,6.93
987,987,1,0,7.25
988,988,1,0,2.22
989,989,1,0,5.7
990,990,1,0,4.16
991,991,1,0,3.5300000000000002
992,992,1,0,2.5500000000000003
993,993,1,0,2.0100000000000002
994,994,1,0,1.92
995,995,1,0,1.6600000000000001
996,996,1,0,1.61
997,997,1,0,13.17
998,998,1,0,1.05
999,999,0,0,5.87
1000,1000,1,0,1.04
1001,1001,1,0,5.78
1002,1002,1,0,11.28
1003,1003,1,0,7.8500000000000005
1004,1004,1,0,4.37
1005,1005,1,0,5.62
1006,1006,1,0,2.95
