round user time_start time_end time_php time_js
15 usuario8 1462278990.76 1462278976.24 -14522.5000381 10778
15 usuario10 1462278990.3 1462278984.09 -6205.69992065 18139
16 usuario3 1462279021.52 1462278996.28 -25237.5998497 4919
16 usuario2 1462279021.37 1462278993.38 -27983.9999676 1727
16 usuario5 1462279021.13 1462278998.05 -23078.799963 6383
16 usuario4 1462279021.64 1462278996.96 -24676.9998074 5288
16 usuario7 1462279021.45 1462279003.96 -17495.6998825 12597
16 usuario6 1462279021.82 1462279006.38 -15443.5999393 14600
16 usuario13 1462279021.44 1462279011.11 -10327.1000385 19504
16 usuario14 1462279022.07 1462278993.26 -28818.8998699 2079
16 usuario1 1462279021.72 1462278992.85 -28877.7999878 1670
16 usuario9 1462279021.93 1462279021.89 -36.2000465393 30220
16 usuario16 1462279022.13 1462278994.35 -27776.4999866 3180
16 usuario15 1462279021.26 1462278993.49 -27769.7000504 2075
16 usuario11 1462279021.39 1462279017.23 -4160.3000164 25881
16 usuario12 1462279021.25 1462278994.46 -26799.0000248 3279
16 usuario8 1462279022.11 1462279001.54 -20572.7000237 9723
16 usuario10 1462279021.24 1462279014.01 -7233.5999012 22646
17 usuario3 1462279039.81 1462279025.01 -14800.2998829 2422
17 usuario2 1462279039.41 1462279023.95 -15455.2001953 1528
17 usuario5 1462279039.62 1462279026.92 -12692.6000118 4726
17 usuario4 1462279039.26 1462279025.81 -13454.9999237 3114
17 usuario7 1462279039.35 1462279035.19 -4161.7000103 12683
17 usuario6 1462279039.81 1462279039.79 -27.2998809814 16909
17 usuario13 1462279039.46 1462279032.18 -7273.2000351 9681
17 usuario14 1462279039.81 1462279026.42 -13389.5001411 3236
17 usuario1 1462279039.88 1462279038.8 -1076.29990578 16023
17 usuario9 1462279039.72 1462279034.53 -5186.90013885 11521
17 usuario16 1462279039.34 1462279028.0 -11347.1999168 4824
17 usuario15 1462279039.47 1462279024.02 -15454.8001289 1703
17 usuario11 1462279039.92 1462279029.58 -10333.2998753 7137
17 usuario12 1462279039.38 1462279029.05 -10324.9001503 6743
17 usuario8 1462279039.58 1462279027.23 -12353.8000584 4061
17 usuario10 1462279039.33 1462279034.15 -5183.69984627 11844
18 usuario3 1462279059.88 1462279043.03 -16845.9999561 2136
18 usuario2 1462279059.92 1462279042.42 -17501.4002323 1957
18 usuario5 1462279059.37 1462279044.62 -14748.4998703 3940
