round player action_player opponent action_opponent payoff time_php time_js who_played
22 usuario9 D ['usuario6'] D 1 4171.10013962 4140 user
22 usuario10 C ['usuario13'] C 3 2245.39995193 2226 user
22 usuario11 D ['usuario14'] D 1 11730.0000191 11698 user
22 usuario12 D ['usuario5'] C 4 2858.29997063 2831 user
22 usuario13 C ['usuario10'] C 3 1330.69992065 1306 user
22 usuario14 D ['usuario11'] D 1 2389.50014114 2360 user
22 usuario15 D ['usuario3'] C 4 4454.99992371 4427 user
22 usuario16 C ['usuario8'] C 3 16532.0999622 16468 user
22 usuario17 C ['usuario18'] C 3 1522.09997177 1496 user
22 usuario18 C ['usuario17'] C 3 1700.59990883 1674 user
23 usuario1 D ['usuario10'] D 1 2795.30000687 2770 user
23 usuario2 D ['usuario8'] C 4 1173.89988899 1148 user
23 usuario3 C ['usuario14'] D 0 2471.60005569 2445 user
23 usuario4 C ['usuario11'] D 0 1041.89991951 1018 user
23 usuario5 C ['usuario16'] C 3 6473.39987755 6438 user
23 usuario6 D ['usuario18'] C 4 1522.20010757 1502 user
23 usuario7 C ['usuario12'] D 0 2764.19997215 2735 user
23 usuario8 C ['usuario2'] D 0 1806.10013008 1782 user
23 usuario9 D ['usuario13'] C 4 5714.30015564 5650 user
23 usuario10 D ['usuario1'] D 1 1551.30004883 1525 user
23 usuario11 D ['usuario4'] C 4 14803.6000729 14775 user
23 usuario12 D ['usuario7'] C 4 5527.09984779 5495 user
23 usuario13 C ['usuario9'] D 0 1371.39987946 1354 user
23 usuario14 D ['usuario3'] C 4 1560.60004234 1532 user
23 usuario15 D ['usuario17'] C 4 18229.7999859 18201 user
23 usuario16 C ['usuario5'] C 3 1293.29991341 1264 user
23 usuario17 C ['usuario15'] D 0 1876.09982491 1849 user
23 usuario18 C ['usuario6'] D 0 2079.20002937 2054 user
24 usuario1 C ['usuario17'] C 3 1643.80002022 1619 user
24 usuario2 D ['usuario3'] C 4 1353.60002518 1333 user
24 usuario3 C ['usuario2'] D 0 2220.70002556 2194 user
24 usuario4 D ['usuario9'] D 1 1725.19993782 1697 user
24 usuario5 C ['usuario13'] C 3 3167.90008545 3139 user
24 usuario6 D ['usuario10'] C 4 1967.20004082 1935 user
24 usuario7 C ['usuario16'] C 3 2497.90000916 2474 user
24 usuario8 C ['usuario15'] D 0 1846.49991989 1822 user
24 usuario9 D ['usuario4'] D 1 2625.0 2606 user
24 usuario10 C ['usuario6'] D 0 4790.8000946 4760 user
24 usuario11 D ['usuario12'] D 1 12710.100174 12681 user
24 usuario12 D ['usuario11'] D 1 6072.09992409 6040 user
24 usuario13 C ['usuario5'] C 3 1529.00004387 1502 user
24 usuario14 D ['usuario18'] C 4 2252.30002403 2228 user
24 usuario15 D ['usuario8'] C 4 3414.49999809 3388 user
24 usuario16 C ['usuario7'] C 3 1643.30005646 1617 user
24 usuario17 C ['usuario1'] C 3 1821.09999657 1798 user
24 usuario18 C ['usuario14'] D 0 1982.1999073 1955 user
25 usuario1 C ['usuario10'] C 3 1956.79998398 1928 user
