userid,rt,response,round
 8,1.028600,1.000,49
 1,1.584100,1.000,49
 9,4.876300,1.000,50
18,0.574900,1.000,50
 7,0.542000,1.000,50
10,0.540500,1.000,50
13,0.616800,1.000,50
 5,0.562200,1.000,50
15,0.657700,1.000,50
16,0.894800,1.000,50
12,0.559500,1.000,50
 6,0.446500,1.000,50
17,1.001400,0.000,50
 2,1.215000,1.000,50
14,0.782600,1.000,50
 4,0.654600,1.000,50
11,0.830900,1.000,50
 3,0.707800,1.000,50
 8,1.136500,1.000,50
 1,1.414100,1.000,50
 9,1.047800,1.000,51
18,0.607600,1.000,51
 7,0.550500,1.000,51
10,0.452100,1.000,51
13,0.649600,1.000,51
 5,0.901200,1.000,51
15,0.665300,1.000,51
16,0.487800,1.000,51
12,1.039800,1.000,51
 6,0.430100,1.000,51
17,1.113600,1.000,51
 2,1.728000,0.000,51
14,0.790900,1.000,51
 4,0.543500,1.000,51
11,0.617400,1.000,51
 3,0.455900,1.000,51
 8,0.933000,1.000,51
 1,1.066600,1.000,51
 9,1.289800,1.000,52
18,0.948100,1.000,52
 7,0.657500,1.000,52
10,0.516600,1.000,52
13,1.089300,1.000,52
 5,0.862400,1.000,52
15,1.697200,1.000,52
16,0.911500,1.000,52
12,1.155300,1.000,52
 6,0.483900,1.000,52
17,1.016800,0.000,52
 2,1.438500,0.000,52
14,0.896800,1.000,52
 4,0.573800,1.000,52
11,1.887000,1.000,52
 3,0.506800,1.000,52
 8,1.296400,1.000,52
 1,1.293200,1.000,52
 9,1.139900,1.000,53
18,0.525800,1.000,53
 7,0.594500,1.000,53
10,0.542800,1.000,53
13,0.594500,1.000,53
 5,0.529400,1.000,53
15,1.066700,1.000,53
16,0.816700,1.000,53
12,0.658000,1.000,53
 6,0.474000,1.000,53
17,0.693900,1.000,53
 2,1.334700,0.000,53
14,0.886200,1.000,53
 4,0.515200,1.000,53
11,1.211500,1.000,53
 3,0.506300,1.000,53
 8,0.629900,1.000,53
 1,0.747800,1.000,53
 9,1.049100,1.000,54
18,0.498100,1.000,54
 7,0.575600,1.000,54
10,0.548900,1.000,54
13,0.490800,1.000,54
 5,0.475100,1.000,54
15,1.067200,1.000,54
16,0.768000,1.000,54
12,0.616700,1.000,54
 6,0.437900,1.000,54
17,0.716600,0.000,54
 2,2.094500,1.000,54
14,0.986900,1.000,54
 4,0.454100,1.000,54
11,0.994900,1.000,54
 3,0.436600,1.000,54
 8,0.635900,1.000,54
 1,1.018400,1.000,54
 9,2.180800,1.000,55
18,0.480100,1.000,55
 7,0.557400,1.000,55
10,0.479700,1.000,55
13,0.496100,1.000,55
 5,0.446000,1.000,55
15,1.800000,1.000,55
16,0.618800,1.000,55
12,0.563800,1.000,55
 6,0.498000,1.000,55
17,1.568100,1.000,55
 2,0.921400,1.000,55
14,0.708900,1.000,55
 4,0.504800,1.000,55
11,0.938500,1.000,55
 3,0.765300,1.000,55
 8,0.484100,1.000,55
 1,0.939100,1.000,55
 9,1.484800,1.000,56
18,0.502000,1.000,56
 7,0.550100,1.000,56
10,0.474600,1.000,56
13,0.495800,1.000,56
 5,0.485100,1.000,56
15,1.130800,1.000,56
16,0.405500,1.000,56
