userid,rt,response,round,context,strategy
 92, 8.87, 0, 6, 4,MCC
 92, 8.40, 1, 7, 6,MCC
 92, 5.37, 1, 8, 5,MCC
 92, 7.55, 1, 9, 5,MCC
 92, 4.69, 0,10, 5,MCC
 92, 8.77, 0,11, 3,MCC
 92, 7.39, 0,12, 3,MCC
 92, 8.49, 0,13, 4,MCC
 92, 7.92, 1,14, 2,MCC
 92, 5.91, 1,15, 2,MCC
 92, 5.48, 0,16, 2,MCC
 92,11.47, 1,17, 2,MCC
 92, 4.08, 0,18, 2,MCC
 92, 6.18, 0,19, 1,MCC
 92,11.76, 0,20, 1,MCC
 92, 8.96, 0,21, 2,MCC
 92, 9.85, 0,22, 3,MCC
 92, 6.12, 0,23, 2,MCC
 92, 9.99, 0,24, 2,MCC
 92, 7.93, 1,25, 1,MCC
 92,11.85, 0,26, 1,MCC
 92, 7.60, 0,27, 1,MCC
 92,11.62, 0,28, 3,MCC
 92,11.18, 1,29, 2,MCC
 92, 9.67, 1,30, 2,MCC
 92, 5.21, 0,31, 2,MCC
 92, 6.94, 0,32, 2,MCC
 92,11.64, 1,33, 3,MCC
 92, 8.35, 1,34, 3,MCC
 92, 5.78, 0,35, 3,MCC
 92, 3.89, 0,36, 3,MCC
 92, 5.40, 0,37, 1,MCC
 92, 9.20, 0,38, 3,MCC
 92,13.61, 0,39, 1,MCC
 92, 9.31, 0,40, 1,MCC
 92,10.19, 0,41, 3,MCC
 92,10.69, 0,42, 3,MCC
 92, 8.77, 1,43, 4,MCC
 92,11.01, 0,44, 3,MCC
 92, 6.03, 0,45, 3,MCC
 92, 7.24, 0,46, 2,MCC
 92, 6.41, 0,47, 1,MCC
 92, 5.27, 0,48, 3,MCC
 92, 7.06, 1,49, 1,MCC
 92,17.31, 0,50, 2,MCC
 92, 7.94, 0,51, 1,MCC
 92,13.00, 0,52, 2,MCC
 92, 9.18, 0,53, 2,MCC
 92,10.67, 0,54, 2,MCC
 92, 8.31, 0,55, 1,MCC
 92, 9.47, 1,56, 1,MCC
 92, 8.94, 0,57, 1,MCC
 92,10.69, 1,58, 1,MCC
 45,11.23, 0, 1,nan,MCC
 45, 7.17, 0, 2, 5,MCC
 45, 7.48, 0, 3, 7,MCC
 45,10.39, 0, 4, 7,MCC
 45,11.28, 0, 5, 6,MCC
 45, 8.81, 1, 6, 4,MCC
 45, 9.76, 1, 7, 5,MCC
 45,10.18, 0, 8, 6,MCC
 45, 4.56, 0, 9, 7,MCC
 45, 4.87, 0,10, 7,MCC
 45, 6.88, 1,11, 4,MCC
 45, 4.28, 1,12, 4,MCC
 45,15.54, 0,13, 3,MCC
 45, 4.69, 0,14, 3,MCC
 45, 8.80, 0,15, 4,MCC
 45, 4.18, 0,16, 5,MCC
 45, 3.16, 0,17, 4,MCC
 45, 4.54, 0,18, 5,MCC
 45, 5.62, 0,19, 3,MCC
 45, 5.99, 0,20, 4,MCC
 45, 5.73, 0,21, 4,MCC
 45, 3.26, 0,22, 5,MCC
 45, 3.73, 0,23, 4,MCC
 45, 4.12, 0,24, 3,MCC
 45, 7.72, 0,25, 3,MCC
 45, 5.75, 0,26, 5,MCC
 45, 2.72, 0,27, 4,MCC
 45,10.04, 0,28, 4,MCC
 45, 7.59, 0,29, 4,MCC
 45, 3.87, 0,30, 5,MCC
 45, 8.02, 0,31, 5,MCC
 45, 3.44, 1,32, 4,MCC
 45, 5.34, 1,33, 5,MCC
 45, 6.76, 0,34, 5,MCC
 45, 7.00, 0,35, 6,MCC
 45,11.80, 0,36, 5,MCC
 45, 5.47, 0,37, 3,MCC
 45,17.61, 0,38, 5,MCC
 45,12.78, 0,39, 4,MCC
 45, 3.97, 1,40, 4,MCC
 45, 8.40, 1,41, 5,MCC
 45, 6.03, 0,42, 5,MCC
 45, 4.97, 0,43, 5,MCC
 45, 6.78, 0,44, 6,MCC
 45, 3.88, 0,45, 4,MCC
 45, 4.72, 0,46, 3,MCC
 45, 4.94, 0,47, 3,MCC
 45, 4.28, 0,48, 5,MCC
 45, 3.65, 0,49, 4,MCC
 45, 3.78, 0,50, 4,MCC
 45, 4.57, 0,51, 3,MCC
 45, 6.93, 0,52, 4,MCC
 45, 3.01, 0,53, 4,MCC
 45, 1.80, 0,54, 5,MCC
 45, 2.91, 0,55, 3,MCC
 45, 4.86, 0,56, 3,MCC
 45,13.76, 0,57, 4,MCC
